Flt_Id,Carr_Cd,Flt_Nbr,Dep_Season,Dep_Day_Of_Wk,Dep_Apt_Cd,Arr_Apt_Cd,Acft_Typ_Cd,C_Cls_Seat_Qty,K_Cls_Seat_Qty,Y_Cls_Seat_Qty,Est_Bag_Unit_Wt
S_Fri_BR3303_SJCTPE,BR,3303,Summer,Friday,SJC,TPE,寬體客機,38,64,221,34
S_Fri_BR3304_TPESJC,BR,3304,Summer,Friday,TPE,SJC,寬體客機,38,64,221,29
S_Fri_BR3309_SJCTPE,BR,3309,Summer,Friday,SJC,TPE,寬體客機,38,64,221,34
S_Fri_BR3310_TPESJC,BR,3310,Summer,Friday,TPE,SJC,寬體客機,38,64,221,29
S_Fri_BR3313_SJCTPE,BR,3313,Summer,Friday,SJC,TPE,寬體客機,38,64,221,34
S_Fri_BR3314_TPESJC,BR,3314,Summer,Friday,TPE,SJC,寬體客機,38,64,221,29
S_Fri_BR3329_IAHTPE,BR,3329,Summer,Friday,IAH,TPE,寬體客機,39,56,238,32
S_Fri_BR3330_TPEIAH,BR,3330,Summer,Friday,TPE,IAH,寬體客機,39,56,238,27
S_Fri_BR3385_TPEMXP,BR,3385,Summer,Friday,TPE,MXP,寬體客機,38,64,221,19
S_Fri_BR3386_MXPTPE,BR,3386,Summer,Friday,MXP,TPE,寬體客機,38,64,221,22
S_Fri_BR3427_NGOTPE,BR,3427,Summer,Friday,NGO,TPE,窄體客機,8,0,176,16
S_Fri_BR3428_TPENGO,BR,3428,Summer,Friday,TPE,NGO,窄體客機,8,0,176,12
S_Fri_BR3429_NGOTPE,BR,3429,Summer,Friday,NGO,TPE,寬體客機,38,64,221,16
S_Fri_BR3430_TPENGO,BR,3430,Summer,Friday,TPE,NGO,寬體客機,38,64,221,12
S_Fri_BR3475_NGOTPE,BR,3475,Summer,Friday,NGO,TPE,窄體客機,8,0,176,16
S_Fri_BR3476_TPENGO,BR,3476,Summer,Saturday,TPE,NGO,窄體客機,8,0,176,12
S_Fri_BR3477_NGOTPE,BR,3477,Summer,Friday,NGO,TPE,窄體客機,8,0,176,16
S_Fri_BR3478_TPENGO,BR,3478,Summer,Friday,TPE,NGO,窄體客機,8,0,176,12
S_Fri_BR3479_NGOKHH,BR,3479,Summer,Friday,NGO,KHH,窄體客機,8,0,176,16
S_Fri_BR3480_KHHNGO,BR,3480,Summer,Saturday,KHH,NGO,窄體客機,8,0,176,12
S_Fri_BR3553_TPELOP,BR,3553,Summer,Friday,TPE,LOP,寬體客機,30,0,279,16
S_Fri_BR3554_LOPTPE,BR,3554,Summer,Friday,LOP,TPE,寬體客機,30,0,279,17
S_Fri_BR3689_TPEPNH,BR,3689,Summer,Friday,TPE,PNH,寬體客機,38,64,221,38
S_Fri_BR3690_PNHTPE,BR,3690,Summer,Friday,PNH,TPE,寬體客機,38,64,221,34
S_Fri_BR3693_TPEPNH,BR,3693,Summer,Saturday,TPE,PNH,寬體客機,39,56,258,38
S_Fri_BR3694_PNHTPE,BR,3694,Summer,Friday,PNH,TPE,寬體客機,39,56,258,34
S_Fri_BR4003_YNZKHH,BR,4003,Summer,Friday,YNZ,KHH,窄體客機,8,0,176,14
S_Fri_BR4004_KHHYNZ,BR,4004,Summer,Friday,KHH,YNZ,窄體客機,8,0,176,16
S_Fri_BR4009_YNZTPE,BR,4009,Summer,Friday,YNZ,TPE,寬體客機,36,56,280,14
S_Fri_BR4010_TPEYNZ,BR,4010,Summer,Friday,TPE,YNZ,寬體客機,36,56,280,14
S_Fri_BR4019_YNZTPE,BR,4019,Summer,Friday,YNZ,TPE,寬體客機,36,56,280,14
