Tvl_Seq,Seg_Id,OD_Grp_Id,Ori_Region_Desc,Dest_Region_Desc,Dep_Region_Desc,Arr_Region_Desc
100088150,3,2,EUROPE,TAIWAN,EUROPE,TAIWAN
101748444,6,2,EUROPE,TAIWAN,EUROPE,TAIWAN
102349347,9,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
102356489,7,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
102383801,3,2,EUROPE,TAIWAN,EUROPE,TAIWAN
102447817,4,2,EUROPE,TAIWAN,EUROPE,TAIWAN
102473743,9,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
103035275,4,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
103039590,4,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
103040923,3,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
103186620,8,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
103238760,15,2,EUROPE,TAIWAN,EUROPE,TAIWAN
103291467,9,2,EUROPE,TAIWAN,EUROPE,TAIWAN
103305298,10,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
103394380,3,2,EUROPE,TAIWAN,EUROPE,TAIWAN
103444637,4,2,TAIWAN,EUROPE,TAIWAN,EUROPE
103590387,5,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
103607043,10,1,N. AMERICA,S. E. ASIA,N. AMERICA,S. E. ASIA
103613634,3,2,EUROPE,TAIWAN,EUROPE,TAIWAN
103658305,13,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
103736644,4,2,EUROPE,TAIWAN,EUROPE,TAIWAN
103869510,12,2,JAPAN/KOREA,TAIWAN,JAPAN/KOREA,TAIWAN
104117722,5,2,TAIWAN,N. AMERICA,TAIWAN,N. AMERICA
104144790,8,2,S. E. ASIA,TAIWAN,S. E. ASIA,TAIWAN
104177275,26,3,S. E. ASIA,N. AMERICA,S. E. ASIA,N. AMERICA
104207667,4,2,EUROPE,TAIWAN,EUROPE,TAIWAN
104237374,6,2,EUROPE,TAIWAN,EUROPE,TAIWAN
104382847,3,2,N. AMERICA,TAIWAN,N. AMERICA,TAIWAN
