Pax_key,Bag_Cnt,Bag_Wt_Msr,Unit_Qual_Cd,Wt_Knw_Ind,Pool_Ind
S_Fri_BR_3303_10ACB200002E98FA,0,0,*,*,YP 
S_Fri_BR_3303_10ACB200002EBE3F,1,21,K,WK,NP 
S_Fri_BR_3303_10ACB20000323E13,0,0,*,*,YP 
S_Fri_BR_3303_200199450000DB05,4,73,K,WK,NP 
S_Fri_BR_3303_20019974000479C9,0,0,*,*,YP 
S_Fri_BR_3303_200199830003204C,0,0,*,*,YP 
S_Fri_BR_3303_2001999200042FA0,3,64,K,WK,YP 
S_Fri_BR_3303_2001999B00066BD1,2,64,K,WK,NP 
S_Fri_BR_3303_200208AC00089257,0,0,*,*,YP 
S_Fri_BR_3303_2002092B000D1D84,4,65,K,WK,YP 
S_Fri_BR_3303_200209700001D978,2,40,K,WK,NP 
S_Fri_BR_3303_20020976000567CD,2,42,K,WK,NP 
S_Fri_BR_3303_200209810008205F,2,40,K,WK,NP 
S_Fri_BR_3303_200209A1000126DC,0,0,*,*,YP 
S_Fri_BR_3303_200219100008910A,0,0,*,*,YP 
S_Fri_BR_3303_200219510000CB2C,4,65,K,WK,YP 
S_Fri_BR_3303_20021985000082A2,5,90,K,WK,YP 
S_Fri_BR_3303_20021989000574E1,0,0,*,*,YP 
S_Fri_BR_3303_2002198E0003BA0B,0,0,*,*,YP 
S_Fri_BR_3303_200219900002DD4E,2,21,K,WK,NP 
S_Fri_BR_3303_2002199A0006A016,3,50,K,WK,YP 
S_Fri_BR_3303_2002199D00089A65,4,73,K,WK,YP 
S_Fri_BR_3303_200228E7000A421A,0,0,*,*,YP 
S_Fri_BR_3303_200228F50000B890,0,0,*,*,YP 
S_Fri_BR_3303_2002290C0003157C,4,83,K,WK,YP 
S_Fri_BR_3303_2002292000006FE6,3,39,K,WK,YP 
S_Fri_BR_3303_20022935000C2B6D,0,0,*,*,YP 
S_Fri_BR_3303_200229550003A11C,0,0,*,*,YP 
S_Fri_BR_3303_200229850000B487,0,0,*,*,YP 
S_Fri_BR_3303_2002298E0002C03D,2,40,K,WK,NP 
S_Fri_BR_3303_2002298E0008A59F,0,0,*,*,YP 
S_Fri_BR_3303_200229970007AC6D,1,10,K,WK,NP 
S_Fri_BR_3303_200238E500037C21,0,0,*,*,YP 
S_Fri_BR_3303_2002393B0007929C,0,0,*,*,YP 
S_Fri_BR_3303_2002399F0001323F,1,20,K,WK,NP 
S_Fri_BR_3303_200239A2000AF629,0,0,*,*,YP 
S_Fri_BR_3303_200248A50007B9E9,1,20,K,WK,NP 
S_Fri_BR_3303_20024972000094B9,9,221,K,WK,YP 
S_Fri_BR_3303_2002497E00062F7C,1,21,K,WK,NP 
S_Fri_BR_3303_2002498F00011980,6,125,K,WK,YP 
S_Fri_BR_3303_2002590800038591,4,92,K,WK,YP 
S_Fri_BR_3303_2002590F0001E747,0,0,*,*,YP 
S_Fri_BR_3303_20025959000478ED,0,0,*,*,YP 
S_Fri_BR_3303_2002597E0000EEA8,0,0,*,*,YP 
