Flt_Id,Taxi_Out,Taxi_In,Block_Tm,Flt_Tm,Dep_Tm,Arr_Tm,Flt_Tm_Plan,Fuel_Cost_Index
S_Fri_BR3303_SJCTPE,28,10,813,775,12:00~17:59,12:00~17:59,778,82
S_Fri_BR3304_TPESJC,15,11,753,727,06:00~11:59,06:00~11:59,727,74
S_Fri_BR3309_SJCTPE,20,8,795,767,00:00~05:59,00:00~05:59,780,79
S_Fri_BR3310_TPESJC,20,61,802,721,18:00~23:59,12:00~17:59,725,72
S_Fri_BR3313_SJCTPE,23,9,802,770,00:00~05:59,00:00~05:59,783,80
S_Fri_BR3314_TPESJC,30,32,799,737,18:00~23:59,18:00~23:59,732,73
S_Fri_BR3329_IAHTPE,33,7,938,898,00:00~05:59,00:00~05:59,900,92
S_Fri_BR3330_TPEIAH,18,68,913,827,18:00~23:59,18:00~23:59,842,90
S_Fri_BR3385_TPEMXP,20,13,806,773,18:00~23:59,06:00~11:59,779,80
S_Fri_BR3386_MXPTPE,21,20,800,759,06:00~11:59,06:00~11:59,766,81
S_Fri_BR3427_NGOTPE,13,7,159,139,18:00~23:59,18:00~23:59,135,6
S_Fri_BR3428_TPENGO,13,13,177,151,12:00~17:59,12:00~17:59,141,5
S_Fri_BR3429_NGOTPE,13,6,152,133,12:00~17:59,12:00~17:59,140,12
S_Fri_BR3430_TPENGO,14,11,166,141,06:00~11:59,06:00~11:59,144,12
S_Fri_BR3475_NGOTPE,15,10,156,131,06:00~11:59,12:00~17:59,136,6
S_Fri_BR3476_TPENGO,15,13,169,141,06:00~11:59,06:00~11:59,147,6
S_Fri_BR3477_NGOTPE,13,8,149,128,18:00~23:59,18:00~23:59,128,5
S_Fri_BR3478_TPENGO,15,12,170,143,12:00~17:59,18:00~23:59,146,6
S_Fri_BR3479_NGOKHH,12,9,173,152,12:00~17:59,12:00~17:59,153,6
S_Fri_BR3480_KHHNGO,16,14,206,176,06:00~11:59,06:00~11:59,171,6
S_Fri_BR3553_TPELOP,18,5,337,314,06:00~11:59,12:00~17:59,294,21
S_Fri_BR3554_LOPTPE,20,10,345,315,12:00~17:59,18:00~23:59,304,20
S_Fri_BR3689_TPEPNH,26,7,197,164,06:00~11:59,06:00~11:59,171,16
S_Fri_BR3690_PNHTPE,11,12,194,171,12:00~17:59,12:00~17:59,178,17
S_Fri_BR3693_TPEPNH,14,7,212,191,06:00~11:59,06:00~11:59,172,17
S_Fri_BR3694_PNHTPE,22,8,205,175,12:00~17:59,18:00~23:59,179,17
S_Fri_BR4003_YNZKHH,18,8,125,99,18:00~23:59,18:00~23:59,106,4
S_Fri_BR4004_KHHYNZ,9,18,132,105,12:00~17:59,18:00~23:59,107,5
S_Fri_BR4009_YNZTPE,19,14,118,85,12:00~17:59,12:00~17:59,84,11
S_Fri_BR4010_TPEYNZ,17,17,119,85,06:00~11:59,06:00~11:59,86,11
S_Fri_BR4019_YNZTPE,20,6,114,88,18:00~23:59,18:00~23:59,89,10
S_Fri_BR4020_TPEYNZ,35,17,131,79,12:00~17:59,18:00~23:59,89,11
S_Fri_BR4049_YNZTPE,27,6,118,85,12:00~17:59,12:00~17:59,78,8
S_Fri_BR4050_TPEYNZ,15,10,124,99,12:00~17:59,12:00~17:59,83,9
S_Fri_BR6751_TPEPNH,24,8,219,187,18:00~23:59,18:00~23:59,187,16
S_Fri_BR6752_PNHTPE,16,7,189,166,00:00~05:59,06:00~11:59,171,17
S_Mon_BR3303_SJCTPE,61,9,828,758,12:00~17:59,18:00~23:59,779,75
S_Mon_BR3304_TPESJC,20,13,744,711,06:00~11:59,06:00~11:59,717,72
S_Mon_BR3309_SJCTPE,26,6,789,757,00:00~05:59,00:00~05:59,766,79
S_Mon_BR3310_TPESJC,22,29,772,721,18:00~23:59,12:00~17:59,719,73
S_Mon_BR3313_SJCTPE,16,6,792,770,00:00~05:59,00:00~05:59,780,78
S_Mon_BR3314_TPESJC,23,5,762,734,18:00~23:59,18:00~23:59,731,72
S_Mon_BR3327_IAHTPE,16,6,912,890,12:00~17:59,12:00~17:59,888,92
S_Mon_BR3328_TPEIAH,28,12,920,880,06:00~11:59,06:00~11:59,873,90
S_Mon_BR3329_IAHTPE,28,7,928,893,00:00~05:59,00:00~05:59,888,92
S_Mon_BR3330_TPEIAH,24,15,933,894,18:00~23:59,18:00~23:59,897,93
S_Mon_BR3385_TPEMXP,25,12,839,802,18:00~23:59,06:00~11:59,803,92
S_Mon_BR3386_MXPTPE,25,5,771,741,06:00~11:59,06:00~11:59,757,79
S_Mon_BR3427_NGOTPE,20,10,167,137,18:00~23:59,18:00~23:59,135,5
S_Mon_BR3428_TPENGO,12,10,164,142,12:00~17:59,12:00~17:59,145,6
S_Mon_BR3429_NGOTPE,11,6,148,131,12:00~17:59,12:00~17:59,131,12
S_Mon_BR3430_TPENGO,14,10,158,134,06:00~11:59,12:00~17:59,133,12
S_Mon_BR3475_NGOTPE,25,15,176,136,06:00~11:59,12:00~17:59,134,5
S_Mon_BR3476_TPENGO,11,13,181,157,06:00~11:59,06:00~11:59,148,6
S_Mon_BR3477_NGOTPE,12,9,149,128,18:00~23:59,18:00~23:59,131,5
S_Mon_BR3478_TPENGO,23,12,180,145,12:00~17:59,18:00~23:59,146,6
S_Mon_BR3479_NGOKHH,13,8,181,160,12:00~17:59,12:00~17:59,162,6
S_Mon_BR3480_KHHNGO,11,14,194,169,06:00~11:59,06:00~11:59,171,6
S_Mon_BR3553_TPELOP,21,6,308,281,06:00~11:59,12:00~17:59,279,21
S_Mon_BR3554_LOPTPE,15,4,326,307,12:00~17:59,18:00~23:59,305,20
S_Mon_BR3689_TPEPNH,16,7,195,172,06:00~11:59,06:00~11:59,180,16
S_Mon_BR3690_PNHTPE,19,6,200,175,12:00~17:59,12:00~17:59,182,18
S_Mon_BR3693_TPEPNH,16,10,194,168,06:00~11:59,06:00~11:59,175,17
S_Mon_BR3694_PNHTPE,14,5,197,178,12:00~17:59,18:00~23:59,192,18
S_Mon_BR4003_YNZKHH,18,10,120,92,18:00~23:59,18:00~23:59,97,4
