TC_Area_Cd,TC_Area_Desc,Region_Cd,Region_Desc,Cntry_Cd,Cntry_3_Ltr_Cd,Cntry_Desc,Cty_Cd,Cty_Desc,Apt_Cd,Apt_Desc
*,Unknown,*  ,Unknown,* ,*,Unknown,*  ,Unknown,TEV,TEV                           
*,Unknown,*  ,Unknown,* ,*,Unknown,*  ,Unknown,DWC,DWC                           
*,Unknown,*  ,Unknown,* ,*,Unknown,*  ,Unknown,*  ,Unknown                       
*,Unknown,*  ,Unknown,* ,*,Unknown,...,...,.TM,..BELA ..VKT.....             
*,Unknown,*  ,Unknown,* ,*,Unknown,...,...,.EJ,..LEIL&...J...H..             
*,Unknown,*  ,Unknown,* ,*,Unknown,.LL,.LL,.LL,..GGTF&s#.Jb.....             
*,Unknown,*  ,Unknown,* ,*,Unknown,HDQ,PSEUDO CITY,HDQ,PSEUDO CITY                   
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,BAI,BUENOS AIRES,BAI,BUENOS AIRES                  
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,BCL,BARRA COLORADO,BCL,BARRA COLORADO                
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,CSC,CANAS,CSC,CANAS                         
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,FMG,FLAMINGO,FMG,FLAMINGO                      
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,FON,FORTUNA,FON,FORTUNA                       
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,GLF,GOLFITO,GLF,GOLFITO                       
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,GPL,GUAPILES,GPL,GUAPILES                      
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,LIO,LIMON,LIO,LIMON                         
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,LIR,LIBERIA,LIR,Daniel Oduber International   
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,LSL,LOS CHILES,LSL,LOS CHILES                    
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,NOB,NOSARA BEACH,NOB,NOSARA BEACH                  
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,OTR,COTO 47,OTR,COTO                          
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,PBP,PUNTA ISLITA,PBP,PUNTA ISLITA                  
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,PJM,PUERTO JIMENEZ,PJM,PUERTO JIMENEZ                
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,PLD,PLAYA SAMARA,PLD,PLAYA SAMARA                  
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,PMZ,PALMAR,PMZ,PALMAR                        
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,RFR,RIO FRIO,RFR,RIO FRIO                      
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,RIK,CARRILLO,RIK,CARRILLO                      
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,SJO,SAN JOSE,SJO,SAN JOSE                      
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,SYQ,SAN JOSE TOBIAS,SYQ,SAN JOSE TOBIAS               
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,SZC,SANTA CRUZ,SZC,SANTA CRUZ                    
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,TMU,TAMBOR,TMU,TAMBOR                        
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,TNO,TAMARINDO,TNO,TAMARINDO                     
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,TOO,SANVITO,TOO,SANVITO                       
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,TTQ,TORTUQUERO,TTQ,TORTUQUERO                    
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,UPL,UPATA,UPL,UPATA                         
1,TC1    ,C.A,C. AMERICA,CR,CRI,COSTA RICA,XQP,QUEPOS,XQP,QUEPOS                        
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,CBV,COBAN,CBV,COBAN                         
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,CIQ,CHIQUIMULA,CIQ,CHIQUIMULA                    
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,CMM,CARMELITA,CMM,CARMELITA                     
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,DON,DOS LAGUNAS,DON,DOS LAGUNAS                   
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,ENJ,EL NARANJO,ENJ,EL NARANJO                    
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,FRS,FLORES,FRS,FLORES                        
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,GUA,GUATEMALA CITY,GUA,GUA                           
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,HUG,HUEHUETENANGO,HUG,HUEHUETENANGO                 
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,MCR,MELCHOR MENCOS,MCR,MELCHOR MENCOS                
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,PBR,PUERTO BARRIOS,PBR,PUERTO BARRIOS                
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,PON,POPTUN,PON,POPTUN                        
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,RUV,RUBELSANTO,RUV,RUBELSANTO                    
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,TKM,TIKAL,TKM,TIKAL                         
1,TC1    ,C.A,C. AMERICA,GT,GTM,GUATEMALA,UAX,UAXACTUN,UAX,UAXACTUN                      
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,AHS,AHUAS,AHS,AHUAS                         
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,BHG,BRUS LAGUNA,BHG,BRUS LAGUNA                   
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,CAA,CATACAMAS,CAA,CATACAMAS                     
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,CDD,CAUQUIRA,CDD,CAUQUIRA                      
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,CYL,COYOLES,CYL,COYOLES                       
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,EDQ,ERANDIQUE,EDQ,ERANDIQUE                     
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,GAC,GRACIAS,GAC,GRACIAS                       
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,GJA,GUANAJA,GJA,GUANAJA                       
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,JUT,JUTICALPA,JUT,JUTICALPA                     
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,LCE,LA CEIBA,LCE,Goloson International Airport 
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,LUI,LA UNION,LUI,LA UNION                      
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,OAN,OLANCHITO,OAN,OLANCHITO                     
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,ORO,YORO,ORO,YORO                          
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,PCH,PALACIOS,PCH,PALACIOS                      
1,TC1    ,C.A,C. AMERICA,HN,HND,HONDURAS,PEU,PUERTO LEMPIRA,PEU,PUERTO LEMPIRA                
