Pax_key,Bag_Cnt,Bag_Wt_Msr,Unit_Qual_Cd,Wt_Knw_Ind,Pool_Ind
W_Fri_BR_3303_10ACB20000321F69,0,0,*,*,YP 
W_Fri_BR_3303_2001997F00007D09,0,0,*,*,YP 
W_Fri_BR_3303_20020895000397AB,2,44,K,WK,NP 
W_Fri_BR_3303_200208A20005CD5F,4,92,K,WK,YP 
W_Fri_BR_3303_200209140006F193,0,0,*,*,YP 
W_Fri_BR_3303_200209160009199F,4,95,K,WK,YP 
W_Fri_BR_3303_2002094A00019C63,3,40,K,WK,NP 
W_Fri_BR_3303_20020970000168F7,0,0,*,*,YP 
W_Fri_BR_3303_20020977000110B0,0,0,*,*,YP 
W_Fri_BR_3303_200209850001F56D,0,0,*,*,YP 
W_Fri_BR_3303_2002098E0006DD07,7,120,K,WK,YP 
W_Fri_BR_3303_2002099A00036609,2,56,K,WK,NP 
W_Fri_BR_3303_200209A200048BC2,2,27,K,WK,NP 
W_Fri_BR_3303_2002195D000637C4,5,134,K,WK,YP 
W_Fri_BR_3303_200219640007BDA2,0,0,*,*,YP 
W_Fri_BR_3303_200219650008D2D7,1,17,K,WK,NP 
W_Fri_BR_3303_2002197B00034685,2,31,K,WK,NP 
W_Fri_BR_3303_200219810007D3B7,0,0,*,*,YP 
W_Fri_BR_3303_200219870000CA43,0,0,*,*,YP 
W_Fri_BR_3303_200219900006CAC3,0,0,*,*,YP 
W_Fri_BR_3303_2002199B00016E40,2,40,K,WK,NP 
W_Fri_BR_3303_200219A1000621B1,2,22,K,WK,YP 
W_Fri_BR_3303_2002292C0008EEAB,1,15,K,WK,NP 
W_Fri_BR_3303_2002294200065486,0,0,*,*,YP 
W_Fri_BR_3303_2002295D00055C48,4,88,K,WK,YP 
W_Fri_BR_3303_200229930009E298,1,15,K,WK,NP 
W_Fri_BR_3303_200229970000B07E,2,32,K,WK,NP 
W_Fri_BR_3303_200229970000FC4C,0,0,*,*,YP 
W_Fri_BR_3303_2002299C0001E500,0,0,*,*,YP 
W_Fri_BR_3303_2002299F0006217D,1,21,K,WK,NP 
W_Fri_BR_3303_200238890007C829,2,64,K,WK,NP 
W_Fri_BR_3303_20023900000136BB,2,42,K,WK,NP 
W_Fri_BR_3303_20023913000711C7,1,17,K,WK,NP 
W_Fri_BR_3303_2002392700011605,0,0,*,*,YP 
W_Fri_BR_3303_2002398300038DB9,2,27,K,WK,YP 
W_Fri_BR_3303_200239A200025DAE,0,0,*,*,YP 
W_Fri_BR_3303_200248CB0005B971,2,44,K,WK,NP 
W_Fri_BR_3303_200249570002644C,0,0,*,*,YP 
W_Fri_BR_3303_200249610000D0D9,2,46,K,WK,NP 
W_Fri_BR_3303_200249710001167F,2,26,K,WK,YP 
W_Fri_BR_3303_200249820001C115,0,0,*,*,YP 
W_Fri_BR_3303_2002499500006473,1,19,K,WK,NP 
W_Fri_BR_3303_2002499D0000BD15,0,0,*,*,YP 
W_Fri_BR_3303_2002588F00012E50,3,60,K,WK,YP 
W_Fri_BR_3303_2002591700015C84,1,22,K,WK,NP 
W_Fri_BR_3303_20025927000095D7,0,0,*,*,YP 
W_Fri_BR_3303_20025941000417D4,1,10,K,WK,NP 
W_Fri_BR_3303_2002596500023935,2,26,K,WK,YP 
W_Fri_BR_3303_2002597300006BE5,3,65,K,WK,NP 
W_Fri_BR_3303_2002597B000800AA,2,36,K,WK,NP 
W_Fri_BR_3303_2002597B000967E4,2,30,K,WK,NP 
W_Fri_BR_3303_2002599400014731,0,0,*,*,YP 
W_Fri_BR_3303_200259A300012686,1,13,K,WK,NP 
W_Fri_BR_3303_2002692500021CE9,2,40,K,WK,NP 
W_Fri_BR_3303_2002698400009E03,1,13,K,WK,NP 
W_Fri_BR_3303_200269870001880E,3,55,K,WK,NP 
W_Fri_BR_3303_200269A000011C6D,4,76,K,WK,YP 
W_Fri_BR_3303_20027900000A5693,2,43,K,WK,YP 
W_Fri_BR_3303_2002792500016C0A,0,0,*,*,YP 
W_Fri_BR_3303_2002793900020046,6,154,K,WK,YP 
W_Fri_BR_3303_2002795600059168,1,20,K,WK,NP 
W_Fri_BR_3303_2002796000064040,3,56,K,WK,NP 
W_Fri_BR_3303_2002796400036EBB,2,35,K,WK,NP 
W_Fri_BR_3303_2002798C00003AD6,1,27,K,WK,NP 
W_Fri_BR_3303_2002798F0002519C,1,12,K,WK,NP 
W_Fri_BR_3303_200279A1000110D3,1,10,K,WK,NP 
W_Fri_BR_3303_2002897B0003F366,1,14,K,WK,NP 
W_Fri_BR_3303_2002990900014A3B,1,22,K,WK,NP 
W_Fri_BR_3303_20029954000892B7,2,61,K,WK,NP 
W_Fri_BR_3303_2002997300020409,2,45,K,WK,NP 
W_Fri_BR_3303_200299790000A5DE,2,40,K,WK,NP 
W_Fri_BR_3303_20029993000013D2,2,40,K,WK,NP 
W_Fri_BR_3303_200299930002058C,3,59,K,WK,YP 
W_Fri_BR_3303_200299A200009DBF,2,46,K,WK,NP 
W_Fri_BR_3303_2003091D000297B5,0,0,*,*,YP 
W_Fri_BR_3303_2003092D0002114C,4,75,K,WK,YP 
W_Fri_BR_3303_2003092D000B4C1C,5,63,K,WK,YP 
W_Fri_BR_3303_2003095400036E31,5,113,K,WK,YP 
W_Fri_BR_3303_2003095800034D9C,0,0,*,*,YP 
W_Fri_BR_3303_200309700005F8BA,0,0,*,*,YP 
W_Fri_BR_3303_2003098500026637,1,10,K,WK,NP 
W_Fri_BR_3303_2003098B00026EC9,2,43,K,WK,NP 
W_Fri_BR_3303_2003098C0002FEB5,0,0,*,*,YP 
W_Fri_BR_3303_200509DA00063690,2,48,K,WK,YP 
W_Fri_BR_3303_200509F90007CEB7,2,55,K,WK,NP 
W_Fri_BR_3303_20050A040003CB18,3,56,K,WK,NP 
W_Fri_BR_3303_20050A0C0001BC4C,6,115,K,WK,YP 
W_Fri_BR_3303_20050A280001F206,0,0,*,*,YP 
W_Fri_BR_3303_20050A290001B091,2,46,K,WK,YP 
W_Fri_BR_3303_20050A370009EDD9,0,0,*,*,YP 
W_Fri_BR_3303_20050A3E00036D69,0,0,*,*,YP 
W_Fri_BR_3303_20050A520002BE17,4,88,K,WK,YP 
W_Fri_BR_3303_20050A540002D599,0,0,*,*,YP 
W_Fri_BR_3303_200519DD0000CD18,2,46,K,WK,NP 
W_Fri_BR_3303_20051A0A0009BF63,2,31,K,WK,NP 
W_Fri_BR_3303_20051A210003C972,4,98,K,WK,YP 
W_Fri_BR_3303_20051A290001B136,3,60,K,WK,YP 
W_Fri_BR_3303_20051A2A00006D76,2,28,K,WK,YP 
W_Fri_BR_3303_20051A2C00028AAB,4,90,K,WK,YP 
W_Fri_BR_3303_20051A4B00005B8C,2,46,K,WK,NP 
W_Fri_BR_3303_20051A4B0002800B,0,0,*,*,YP 
W_Fri_BR_3303_200529F5000086FF,2,46,K,WK,NP 
W_Fri_BR_3303_20052A3E0007C467,0,0,*,*,YP 
W_Fri_BR_3303_20052A470001F7E5,1,20,K,WK,NP 
W_Fri_BR_3303_20052A4C0002C7B3,4,60,K,WK,NP 
W_Fri_BR_3303_20052A57000124CB,1,23,K,WK,NP 
W_Fri_BR_3303_200539EA00010AD2,6,121,K,WK,YP 
W_Fri_BR_3303_20053A2B000147DB,0,0,*,*,YP 
W_Fri_BR_3303_20053A4E00008B0E,2,64,K,WK,NP 
W_Fri_BR_3303_20053A54000A39CB,1,12,K,WK,NP 
W_Fri_BR_3303_20053A580000B83E,4,88,K,WK,YP 
W_Fri_BR_3303_20053A5800044472,8,124,K,WK,YP 
W_Fri_BR_3303_20054A1A00014BD7,9,168,K,WK,YP 
W_Fri_BR_3303_20054A3D0002B075,2,40,K,WK,NP 
W_Fri_BR_3303_200559A500020424,0,0,*,*,YP 
W_Fri_BR_3303_200559DB000141C2,4,88,K,WK,YP 
W_Fri_BR_3303_200559F500022513,0,0,*,*,YP 
W_Fri_BR_3303_20055A440001DB7A,0,0,*,*,YP 
W_Fri_BR_3303_20055A4800028D0F,0,0,*,*,YP 
W_Fri_BR_3303_20055A4900006AD7,0,0,*,*,YP 
W_Fri_BR_3303_20055A4B000091A5,2,38,K,WK,NP 
W_Fri_BR_3303_20055A4E000529EF,2,37,K,WK,NP 
W_Fri_BR_3303_20055A530001A108,0,0,*,*,YP 
W_Fri_BR_3303_20056A040003C0ED,7,154,K,WK,YP 
W_Fri_BR_3303_20056A11000216CC,4,77,K,WK,YP 
W_Fri_BR_3303_20056A3B0001D86A,7,155,K,WK,YP 
W_Fri_BR_3303_20056A54000116AE,0,0,*,*,YP 
W_Fri_BR_3303_200579A30005B841,2,46,K,WK,NP 
W_Fri_BR_3303_200589AF00008CEE,4,88,K,WK,YP 
W_Fri_BR_3303_200589AF0007C7F9,8,155,K,WK,YP 
W_Fri_BR_3303_200589F70006545A,2,29,K,WK,NP 
W_Fri_BR_3303_20058A03000158EA,2,46,K,WK,NP 
W_Fri_BR_3303_20058A1A0006F183,0,0,*,*,YP 
W_Fri_BR_3303_20058A1A0009A6B9,1,21,K,WK,NP 
W_Fri_BR_3303_20058A1C00032AB3,0,0,*,*,YP 
W_Fri_BR_3303_20058A1C0007FA88,0,0,*,*,YP 
W_Fri_BR_3303_20058A370001A347,2,40,K,WK,YP 
W_Fri_BR_3303_20058A4D0000D043,1,18,K,WK,NP 
W_Fri_BR_3303_20058A570006B496,2,44,K,WK,NP 
W_Fri_BR_3303_200599BE0005413E,0,0,*,*,YP 
W_Fri_BR_3303_200599F800089D2D,1,15,K,WK,NP 
W_Fri_BR_3303_200599FE00040B41,10,175,K,WK,YP 
W_Fri_BR_3303_200599FF00084348,0,0,*,*,YP 
W_Fri_BR_3303_20059A0B0001C6BD,0,0,*,*,YP 
W_Fri_BR_3303_20059A0E0005D58E,2,36,K,WK,NP 
W_Fri_BR_3303_20059A140001301C,2,45,K,WK,YP 
W_Fri_BR_3303_20059A2200023AA0,0,0,*,*,YP 
W_Fri_BR_3303_20059A2B00006723,4,96,K,WK,YP 
W_Fri_BR_3303_20059A3B0009323E,4,94,K,WK,YP 
W_Fri_BR_3303_20059A49000199F5,0,0,*,*,YP 
W_Fri_BR_3303_2005A9F60008D8B7,0,0,*,*,YP 
W_Fri_BR_3303_2005AA080000054A,2,46,K,WK,NP 
W_Fri_BR_3303_2005AA220001D3C9,1,20,K,WK,NP 
W_Fri_BR_3303_2005AA26000084F6,0,0,*,*,YP 
W_Fri_BR_3303_2005AA260007B9EE,3,37,K,WK,YP 
W_Fri_BR_3303_2005AA5300011888,2,46,K,WK,NP 
W_Fri_BR_3303_2005B9E200005EE5,2,46,K,WK,NP 
W_Fri_BR_3303_2005BA110001CFC6,1,23,K,WK,NP 
W_Fri_BR_3303_2005BA2800018CD3,2,64,K,WK,NP 
W_Fri_BR_3303_2005C9E90009AD65,0,0,*,*,YP 
W_Fri_BR_3303_2005CA1500079640,0,0,*,*,YP 
W_Fri_BR_3303_2005CA1F0002F82F,1,20,K,WK,NP 
W_Fri_BR_3303_2005CA1F000B2C4C,1,19,K,WK,NP 
W_Fri_BR_3303_2005CA4A0000FB61,0,0,*,*,YP 
