Flt_Id,Taxi_Out,Taxi_In,Block_Tm,Flt_Tm,Dep_Tm,Arr_Tm,Flt_Tm_Plan,Fuel_Cost_Index
W_Fri_BR3303_SJCTPE,27,9,848,812,06:00~11:59,12:00~17:59,807,84
W_Fri_BR3304_TPESJC,14,9,660,637,06:00~11:59,06:00~11:59,631,63
W_Fri_BR3309_SJCTPE,29,6,850,815,18:00~23:59,00:00~05:59,819,86
W_Fri_BR3310_TPESJC,18,4,678,656,18:00~23:59,12:00~17:59,647,64
W_Fri_BR3313_SJCTPE,26,6,856,824,18:00~23:59,00:00~05:59,833,86
W_Fri_BR3314_TPESJC,33,16,702,653,18:00~23:59,18:00~23:59,651,65
W_Fri_BR3329_IAHTPE,24,5,946,917,00:00~05:59,00:00~05:59,929,94
W_Fri_BR3330_TPEIAH,17,22,874,835,18:00~23:59,18:00~23:59,834,87
W_Fri_BR3385_TPEMXP,20,8,827,799,18:00~23:59,06:00~11:59,807,83
W_Fri_BR3386_MXPTPE,15,4,762,743,06:00~11:59,06:00~11:59,749,71
W_Fri_BR3427_NGOTPE,9,9,200,182,12:00~17:59,18:00~23:59,185,7
W_Fri_BR3428_TPENGO,11,12,137,114,12:00~17:59,12:00~17:59,108,4
W_Fri_BR3429_NGOTPE,12,16,219,191,12:00~17:59,12:00~17:59,178,12
W_Fri_BR3430_TPENGO,15,11,149,123,06:00~11:59,12:00~17:59,119,8
W_Fri_BR3475_NGOTPE,19,10,231,202,06:00~11:59,12:00~17:59,185,13
W_Fri_BR3476_TPENGO,19,15,164,130,06:00~11:59,06:00~11:59,127,8
W_Fri_BR3477_NGOTPE,10,8,186,168,18:00~23:59,00:00~05:59,172,6
W_Fri_BR3478_TPENGO,24,12,162,126,12:00~17:59,18:00~23:59,121,4
W_Fri_BR3479_NGOKHH,16,13,229,200,12:00~17:59,12:00~17:59,208,8
W_Fri_BR3480_KHHNGO,21,13,179,145,06:00~11:59,06:00~11:59,142,5
W_Fri_BR3553_TPELOP,29,8,347,310,06:00~11:59,12:00~17:59,297,21
W_Fri_BR3554_LOPTPE,36,16,371,319,12:00~17:59,18:00~23:59,306,20
W_Fri_BR3689_TPEPNH,18,12,214,184,06:00~11:59,06:00~11:59,192,18
W_Fri_BR3690_PNHTPE,25,10,208,173,12:00~17:59,12:00~17:59,173,16
W_Fri_BR3693_TPEPNH,19,12,197,166,06:00~11:59,06:00~11:59,180,18
W_Fri_BR3694_PNHTPE,10,6,189,173,12:00~17:59,18:00~23:59,173,16
W_Fri_BR4003_YNZKHH,22,8,135,105,18:00~23:59,18:00~23:59,113,4
W_Fri_BR4004_KHHYNZ,13,20,141,108,12:00~17:59,18:00~23:59,114,5
W_Fri_BR4009_YNZTPE,35,8,151,108,12:00~17:59,12:00~17:59,96,9
W_Fri_BR4010_TPEYNZ,31,17,118,70,06:00~11:59,06:00~11:59,75,8
W_Fri_BR4019_YNZTPE,23,27,157,107,18:00~23:59,18:00~23:59,94,9
W_Fri_BR4020_TPEYNZ,15,21,115,79,12:00~17:59,18:00~23:59,81,8
W_Fri_BR4049_YNZTPE,26,11,131,94,12:00~17:59,12:00~17:59,87,8
W_Fri_BR4050_TPEYNZ,13,18,116,85,12:00~17:59,12:00~17:59,86,7
W_Fri_BR6751_TPEPNH,12,19,208,177,18:00~23:59,18:00~23:59,193,18
W_Fri_BR6752_PNHTPE,17,7,189,165,00:00~05:59,00:00~05:59,165,15
W_Mon_BR3303_SJCTPE,34,6,932,892,06:00~11:59,18:00~23:59,883,90
W_Mon_BR3304_TPESJC,16,12,689,661,06:00~11:59,06:00~11:59,666,65
W_Mon_BR3309_SJCTPE,31,7,829,791,18:00~23:59,00:00~05:59,793,83
W_Mon_BR3310_TPESJC,16,8,682,658,18:00~23:59,12:00~17:59,657,65
W_Mon_BR3313_SJCTPE,32,7,832,793,18:00~23:59,00:00~05:59,794,80
W_Mon_BR3314_TPESJC,24,9,693,660,18:00~23:59,18:00~23:59,657,63
W_Mon_BR3327_IAHTPE,43,10,1044,991,12:00~17:59,18:00~23:59,998,100
W_Mon_BR3328_TPEIAH,41,13,888,834,06:00~11:59,06:00~11:59,841,89
W_Mon_BR3329_IAHTPE,44,8,1072,1020,00:00~05:59,06:00~11:59,1010,100
W_Mon_BR3330_TPEIAH,21,10,873,842,18:00~23:59,18:00~23:59,841,88
W_Mon_BR3385_TPEMXP,16,9,797,772,18:00~23:59,06:00~11:59,774,80
W_Mon_BR3386_MXPTPE,20,5,755,730,06:00~11:59,06:00~11:59,732,69
W_Mon_BR3427_NGOTPE,12,12,212,188,12:00~17:59,18:00~23:59,176,7
W_Mon_BR3428_TPENGO,14,14,142,114,12:00~17:59,12:00~17:59,112,5
W_Mon_BR3429_NGOTPE,13,8,207,186,12:00~17:59,12:00~17:59,185,11
W_Mon_BR3430_TPENGO,23,10,150,117,06:00~11:59,12:00~17:59,119,8
W_Mon_BR3475_NGOTPE,27,12,222,183,06:00~11:59,12:00~17:59,174,11
W_Mon_BR3476_TPENGO,16,16,155,123,06:00~11:59,06:00~11:59,118,8
W_Mon_BR3477_NGOTPE,12,7,200,181,18:00~23:59,00:00~05:59,180,7
W_Mon_BR3478_TPENGO,14,12,142,116,12:00~17:59,18:00~23:59,119,5
W_Mon_BR3479_NGOKHH,18,9,227,200,12:00~17:59,12:00~17:59,199,7
W_Mon_BR3553_TPELOP,23,9,331,299,06:00~11:59,12:00~17:59,299,22
W_Mon_BR3554_LOPTPE,27,13,343,303,12:00~17:59,18:00~23:59,304,19
W_Mon_BR3689_TPEPNH,17,16,213,180,06:00~11:59,06:00~11:59,192,17
W_Mon_BR3690_PNHTPE,19,7,182,156,12:00~17:59,12:00~17:59,162,15
W_Mon_BR3693_TPEPNH,18,16,219,185,06:00~11:59,06:00~11:59,193,18
W_Mon_BR3694_PNHTPE,19,26,219,174,12:00~17:59,18:00~23:59,177,16
W_Mon_BR4003_YNZKHH,23,12,148,113,18:00~23:59,18:00~23:59,116,5
W_Mon_BR4004_KHHYNZ,12,26,139,101,12:00~17:59,18:00~23:59,103,4
W_Mon_BR4009_YNZTPE,24,8,114,82,12:00~17:59,12:00~17:59,84,9
W_Mon_BR4010_TPEYNZ,41,16,130,73,06:00~11:59,12:00~17:59,75,8
W_Mon_BR4019_YNZTPE,20,7,138,111,18:00~23:59,18:00~23:59,94,9
W_Mon_BR4020_TPEYNZ,17,19,123,87,12:00~17:59,18:00~23:59,87,8
W_Mon_BR6751_TPEPNH,10,11,205,184,18:00~23:59,18:00~23:59,195,17
W_Mon_BR6752_PNHTPE,14,10,182,158,00:00~05:59,00:00~05:59,162,15
W_Sat_BR3303_SJCTPE,21,6,820,793,06:00~11:59,12:00~17:59,785,80
W_Sat_BR3304_TPESJC,20,10,672,642,06:00~11:59,06:00~11:59,645,66
W_Sat_BR3309_SJCTPE,26,7,817,784,18:00~23:59,00:00~05:59,792,82
W_Sat_BR3310_TPESJC,16,22,686,648,18:00~23:59,12:00~17:59,653,65
W_Sat_BR3313_SJCTPE,25,3,816,788,18:00~23:59,00:00~05:59,803,82
W_Sat_BR3314_TPESJC,19,25,674,630,18:00~23:59,18:00~23:59,633,64
W_Sat_BR3327_IAHTPE,34,7,1017,976,12:00~17:59,18:00~23:59,958,97
W_Sat_BR3328_TPEIAH,20,9,849,820,06:00~11:59,06:00~11:59,817,87
W_Sat_BR3329_IAHTPE,35,8,947,904,00:00~05:59,00:00~05:59,907,91
W_Sat_BR3330_TPEIAH,19,9,869,841,18:00~23:59,18:00~23:59,842,87
W_Sat_BR3385_TPEMXP,16,8,830,806,18:00~23:59,06:00~11:59,800,81
W_Sat_BR3386_MXPTPE,13,13,732,706,06:00~11:59,06:00~11:59,724,68
W_Sat_BR3427_NGOTPE,12,13,212,187,12:00~17:59,18:00~23:59,175,6
W_Sat_BR3428_TPENGO,12,11,158,135,12:00~17:59,12:00~17:59,128,5
W_Sat_BR3429_NGOTPE,12,8,188,168,12:00~17:59,12:00~17:59,156,11
W_Sat_BR3430_TPENGO,30,13,172,129,06:00~11:59,06:00~11:59,124,8
W_Sat_BR3475_NGOTPE,14,11,189,164,06:00~11:59,12:00~17:59,164,11
W_Sat_BR3476_TPENGO,14,13,148,121,06:00~11:59,06:00~11:59,117,8
W_Sat_BR3477_NGOTPE,13,8,189,168,18:00~23:59,00:00~05:59,163,6
W_Sat_BR3478_TPENGO,12,13,165,140,12:00~17:59,18:00~23:59,130,5
W_Sat_BR3479_NGOKHH,14,6,213,193,12:00~17:59,12:00~17:59,193,6
W_Sat_BR3480_KHHNGO,16,14,177,147,06:00~11:59,06:00~11:59,143,5
W_Sat_BR3553_TPELOP,29,6,333,298,06:00~11:59,12:00~17:59,298,20
W_Sat_BR3554_LOPTPE,12,8,316,296,12:00~17:59,18:00~23:59,313,20
W_Sat_BR3689_TPEPNH,25,13,214,176,06:00~11:59,06:00~11:59,187,18
W_Sat_BR3690_PNHTPE,13,8,188,167,12:00~17:59,12:00~17:59,175,16
W_Sat_BR3693_TPEPNH,16,11,208,181,06:00~11:59,06:00~11:59,182,17
W_Sat_BR3694_PNHTPE,14,5,179,160,12:00~17:59,18:00~23:59,169,16
W_Sat_BR4009_YNZTPE,24,6,121,91,12:00~17:59,12:00~17:59,80,8
W_Sat_BR4010_TPEYNZ,41,9,131,81,06:00~11:59,12:00~17:59,87,8
W_Sat_BR4019_YNZTPE,21,5,118,92,18:00~23:59,18:00~23:59,90,8
W_Sat_BR4020_TPEYNZ,21,16,112,75,12:00~17:59,18:00~23:59,81,9
W_Sat_BR6751_TPEPNH,18,12,211,181,18:00~23:59,18:00~23:59,184,18
W_Sat_BR6752_PNHTPE,13,5,173,155,00:00~05:59,00:00~05:59,160,15
W_Sun_BR3303_SJCTPE,20,10,824,794,06:00~11:59,12:00~17:59,791,80
W_Sun_BR3304_TPESJC,15,8,656,633,06:00~11:59,06:00~11:59,641,65
W_Sun_BR3309_SJCTPE,21,6,808,781,18:00~23:59,00:00~05:59,788,80
W_Sun_BR3310_TPESJC,15,14,668,639,18:00~23:59,12:00~17:59,643,65
W_Sun_BR3313_SJCTPE,25,6,808,777,18:00~23:59,00:00~05:59,786,81
W_Sun_BR3314_TPESJC,19,5,667,643,18:00~23:59,18:00~23:59,643,64
W_Sun_BR3329_IAHTPE,30,8,987,949,00:00~05:59,06:00~11:59,943,94
W_Sun_BR3330_TPEIAH,14,16,921,891,18:00~23:59,18:00~23:59,875,90
W_Sun_BR3385_TPEMXP,21,8,830,801,18:00~23:59,06:00~11:59,809,83
W_Sun_BR3386_MXPTPE,24,5,744,715,06:00~11:59,06:00~11:59,721,69
