Flt_Id,Carr_Cd,Flt_Nbr,Dep_Season,Dep_Day_Of_Wk,Dep_Apt_Cd,Arr_Apt_Cd,Acft_Typ_Cd,C_Cls_Seat_Qty,K_Cls_Seat_Qty,Y_Cls_Seat_Qty,Est_Bag_Unit_Wt
W_Fri_BR3303_SJCTPE,BR,3303,Winter,Friday,SJC,TPE,寬體客機,38,64,221,38
W_Fri_BR3304_TPESJC,BR,3304,Winter,Friday,TPE,SJC,寬體客機,38,64,221,30
W_Fri_BR3309_SJCTPE,BR,3309,Winter,Thursday,SJC,TPE,寬體客機,38,64,221,38
W_Fri_BR3310_TPESJC,BR,3310,Winter,Friday,TPE,SJC,寬體客機,38,64,221,30
W_Fri_BR3313_SJCTPE,BR,3313,Winter,Thursday,SJC,TPE,寬體客機,38,64,221,38
W_Fri_BR3314_TPESJC,BR,3314,Winter,Friday,TPE,SJC,寬體客機,38,64,221,30
W_Fri_BR3329_IAHTPE,BR,3329,Winter,Friday,IAH,TPE,寬體客機,39,56,238,35
W_Fri_BR3330_TPEIAH,BR,3330,Winter,Friday,TPE,IAH,寬體客機,39,56,238,30
W_Fri_BR3385_TPEMXP,BR,3385,Winter,Friday,TPE,MXP,寬體客機,38,64,221,21
W_Fri_BR3386_MXPTPE,BR,3386,Winter,Friday,MXP,TPE,寬體客機,38,64,221,24
W_Fri_BR3427_NGOTPE,BR,3427,Winter,Friday,NGO,TPE,窄體客機,8,0,176,19
W_Fri_BR3428_TPENGO,BR,3428,Winter,Friday,TPE,NGO,窄體客機,8,0,176,15
W_Fri_BR3429_NGOTPE,BR,3429,Winter,Friday,NGO,TPE,寬體客機,30,0,279,19
W_Fri_BR3430_TPENGO,BR,3430,Winter,Friday,TPE,NGO,寬體客機,30,0,279,15
W_Fri_BR3475_NGOTPE,BR,3475,Winter,Friday,NGO,TPE,寬體客機,24,0,228,19
W_Fri_BR3476_TPENGO,BR,3476,Winter,Saturday,TPE,NGO,寬體客機,24,0,228,15
W_Fri_BR3477_NGOTPE,BR,3477,Winter,Friday,NGO,TPE,窄體客機,8,0,176,19
W_Fri_BR3478_TPENGO,BR,3478,Winter,Friday,TPE,NGO,窄體客機,8,0,176,15
W_Fri_BR3479_NGOKHH,BR,3479,Winter,Friday,NGO,KHH,窄體客機,8,0,176,20
W_Fri_BR3480_KHHNGO,BR,3480,Winter,Saturday,KHH,NGO,窄體客機,8,0,176,15
W_Fri_BR3553_TPELOP,BR,3553,Winter,Friday,TPE,LOP,寬體客機,30,0,279,18
W_Fri_BR3554_LOPTPE,BR,3554,Winter,Friday,LOP,TPE,寬體客機,30,0,279,19
W_Fri_BR3689_TPEPNH,BR,3689,Winter,Friday,TPE,PNH,寬體客機,38,64,221,41
W_Fri_BR3690_PNHTPE,BR,3690,Winter,Friday,PNH,TPE,寬體客機,38,64,221,33
W_Fri_BR3693_TPEPNH,BR,3693,Winter,Saturday,TPE,PNH,寬體客機,39,56,258,41
W_Fri_BR3694_PNHTPE,BR,3694,Winter,Friday,PNH,TPE,寬體客機,39,56,258,33
W_Fri_BR4003_YNZKHH,BR,4003,Winter,Friday,YNZ,KHH,窄體客機,8,0,176,17
W_Fri_BR4004_KHHYNZ,BR,4004,Winter,Friday,KHH,YNZ,窄體客機,8,0,176,17
W_Fri_BR4009_YNZTPE,BR,4009,Winter,Friday,YNZ,TPE,寬體客機,39,56,258,15
W_Fri_BR4010_TPEYNZ,BR,4010,Winter,Friday,TPE,YNZ,寬體客機,39,56,258,16
W_Fri_BR4019_YNZTPE,BR,4019,Winter,Friday,YNZ,TPE,寬體客機,39,56,258,15
W_Fri_BR4020_TPEYNZ,BR,4020,Winter,Friday,TPE,YNZ,寬體客機,39,56,258,16
W_Fri_BR4049_YNZTPE,BR,4049,Winter,Friday,YNZ,TPE,寬體客機,39,56,258,15
W_Fri_BR4050_TPEYNZ,BR,4050,Winter,Friday,TPE,YNZ,寬體客機,39,56,258,16
W_Fri_BR6751_TPEPNH,BR,6751,Winter,Friday,TPE,PNH,寬體客機,39,56,238,41
W_Fri_BR6752_PNHTPE,BR,6752,Winter,Saturday,PNH,TPE,寬體客機,39,56,238,33
W_Mon_BR3303_SJCTPE,BR,3303,Winter,Monday,SJC,TPE,寬體客機,38,64,221,38
W_Mon_BR3304_TPESJC,BR,3304,Winter,Monday,TPE,SJC,寬體客機,38,64,221,30
W_Mon_BR3309_SJCTPE,BR,3309,Winter,Sunday,SJC,TPE,寬體客機,38,64,221,38
W_Mon_BR3310_TPESJC,BR,3310,Winter,Monday,TPE,SJC,寬體客機,38,64,221,30
W_Mon_BR3313_SJCTPE,BR,3313,Winter,Sunday,SJC,TPE,寬體客機,38,64,221,38
W_Mon_BR3314_TPESJC,BR,3314,Winter,Monday,TPE,SJC,寬體客機,38,64,221,30
W_Mon_BR3327_IAHTPE,BR,3327,Winter,Monday,IAH,TPE,寬體客機,39,56,238,35
W_Mon_BR3328_TPEIAH,BR,3328,Winter,Monday,TPE,IAH,寬體客機,39,56,238,30
W_Mon_BR3329_IAHTPE,BR,3329,Winter,Monday,IAH,TPE,寬體客機,39,56,238,35
W_Mon_BR3330_TPEIAH,BR,3330,Winter,Monday,TPE,IAH,寬體客機,39,56,238,30
W_Mon_BR3385_TPEMXP,BR,3385,Winter,Monday,TPE,MXP,寬體客機,38,64,221,21
W_Mon_BR3386_MXPTPE,BR,3386,Winter,Monday,MXP,TPE,寬體客機,38,64,221,24
W_Mon_BR3427_NGOTPE,BR,3427,Winter,Monday,NGO,TPE,窄體客機,8,0,176,19
W_Mon_BR3428_TPENGO,BR,3428,Winter,Monday,TPE,NGO,窄體客機,8,0,176,15
W_Mon_BR3429_NGOTPE,BR,3429,Winter,Monday,NGO,TPE,寬體客機,30,0,279,19
W_Mon_BR3430_TPENGO,BR,3430,Winter,Monday,TPE,NGO,寬體客機,30,0,279,15
W_Mon_BR3475_NGOTPE,BR,3475,Winter,Monday,NGO,TPE,寬體客機,24,0,228,19
W_Mon_BR3476_TPENGO,BR,3476,Winter,Tuesday,TPE,NGO,寬體客機,24,0,228,15
W_Mon_BR3477_NGOTPE,BR,3477,Winter,Monday,NGO,TPE,窄體客機,8,0,176,19
